date,map
2021-10-03T17:00:00.000Z,Nepal
2021-10-03T17:05:00.000Z,Nepal
2021-10-03T17:10:00.000Z,Nepal
2021-10-03T17:15:00.000Z,Paris
2021-10-03T17:20:00.000Z,Horizon
2021-10-03T17:25:00.000Z,Eichenwalde
2021-10-03T17:30:00.000Z,Eichenwalde
2021-10-03T17:35:00.000Z,Volskaya
2021-10-03T17:40:00.000Z,Anubis
2021-10-03T17:45:00.000Z,Oasis
2021-10-03T17:50:00.000Z,Lijiang Tower
2021-10-03T17:55:00.000Z,Busan
2021-10-03T18:00:00.000Z,Kings Row
2021-10-03T18:05:00.000Z,Ilios
2021-10-03T18:10:00.000Z,Numbani
2021-10-03T18:15:00.000Z,Watchpoint
2021-10-03T18:20:00.000Z,Havana
2021-10-03T18:25:00.000Z,Havana
2021-10-03T18:30:00.000Z,Hollywood
2021-10-04T17:00:00.000Z,Nepal
2021-10-04T17:05:00.000Z,Paris
2021-10-04T17:10:00.000Z,Horizon
2021-10-04T17:15:00.000Z,Eichenwalde
2021-10-04T17:20:00.000Z,Volskaya
2021-10-04T17:25:00.000Z,Volskaya
2021-10-04T17:30:00.000Z,Anubis
2021-10-04T17:35:00.000Z,Anubis
2021-10-04T17:40:00.000Z,Oasis
2021-10-04T17:45:00.000Z,Lijiang Tower
2021-10-04T17:50:00.000Z,Route 66
2021-10-04T17:55:00.000Z,Busan
2021-10-04T18:00:00.000Z,Ilios
2021-10-04T18:05:00.000Z,Numbani
2021-10-04T18:10:00.000Z,Rialto
2021-10-04T18:15:00.000Z,Blizzard World
2021-10-04T18:20:00.000Z,Havana
2021-10-04T18:25:00.000Z,Dorado
2021-10-04T18:30:00.000Z,Dorado
2021-10-04T18:35:00.000Z,Junkertown
2021-10-04T21:00:00.000Z,Paris
2021-10-04T21:05:00.000Z,Lijiang Tower
2021-10-04T21:10:00.000Z,Ilios
2021-10-04T21:15:00.000Z,Watchpoint
2021-10-04T21:20:00.000Z,Rialto
2021-10-04T21:25:00.000Z,Blizzard World
2021-10-04T21:30:00.000Z,Hollywood
2021-10-06T19:00:00.000Z,Paris
2021-10-06T19:05:00.000Z,Eichenwalde
2021-10-06T19:10:00.000Z,Volskaya
2021-10-06T19:15:00.000Z,Oasis
2021-10-06T19:20:00.000Z,Lijiang Tower
2021-10-06T19:25:00.000Z,Hanamura
2021-10-06T19:30:00.000Z,Route 66
2021-10-06T19:35:00.000Z,Kings Row
2021-10-06T19:40:00.000Z,Numbani
2021-10-06T19:45:00.000Z,Dorado
2021-10-06T19:50:00.000Z,Junkertown
2021-10-08T17:00:00.000Z,Nepal
2021-10-08T17:05:00.000Z,Paris
2021-10-08T17:10:00.000Z,Eichenwalde
2021-10-08T17:15:00.000Z,Volskaya
2021-10-08T17:20:00.000Z,Anubis
2021-10-08T17:25:00.000Z,Oasis
2021-10-08T17:30:00.000Z,Lijiang Tower
2021-10-08T17:35:00.000Z,Numbani
2021-10-08T17:40:00.000Z,Watchpoint
2021-10-08T17:45:00.000Z,Rialto
2021-10-08T17:50:00.000Z,Dorado
2021-10-08T17:55:00.000Z,Hollywood
2021-10-09T11:30:00.000Z,Nepal
2021-10-09T11:35:00.000Z,Horizon
2021-10-09T11:40:00.000Z,Anubis
2021-10-09T11:45:00.000Z,Oasis
2021-10-09T11:50:00.000Z,Hanamura
2021-10-09T11:55:00.000Z,Route 66
2021-10-09T12:00:00.000Z,Kings Row
